Demo,Link,Last View,Total Time,Steps Completed,Percent Complete,Opened CTA,Country
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:02,4,8.00%,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:10,6,12.00%,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/7/25 13:25,0:33,11,22.00%,-,United Arab Emirates
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:22,0:04,2,14.00%,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:24,3:32,39,100.00%,-,United Arab Emirates
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:25,4:46,37,95.00%,-,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/7/25 13:21,2:53,17,71.00%,-,United Kingdom
Uploading Administration Material LWA Examination/Moderation,KB,5/7/25 13:18,0:59,16,100.00%,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 13:15,3:15,15,100.00%,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 13:03,6:11,2,6.00%,-,United Kingdom
Functional Skills: How to access on-demand test results on Edexcel Online,KB,5/7/25 12:52,0:07,2,14.00%,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 12:44,0:09,2,6.00%,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:41,0:02,2,14.00%,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:35,0:07,2,14.00%,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:29,0:21,5,34.00%,-,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 12:09,0:14,4,19.00%,-,United Kingdom
Managing Requests LWT Moderation,KB,5/7/25 12:15,17:46,80,100.00%,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,China
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/7/25 11:57,1:03,17,44.00%,-,Ireland
Logging in & navigating LWT Examination/Moderation,KB,5/7/25 12:03,10:12,15,100.00%,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/7/25 11:57,15:03,19,87.00%,-,United Kingdom
How to top up BTEC registrations on Edexcel Online,KB,5/7/25 11:34,0:19,9,57.00%,-,United Kingdom
